tournament_year,name,confederation,raw_rank,is_host,style,squad_size
2022,Mexico,CONCACAF,13,0,low_block,26
2022,Poland,UEFA,26,0,low_block,26
2022,France,UEFA,4,0,counter,26
2022,Australia,AFC,38,0,direct,26
2022,Morocco,CAF,22,0,low_block,26
2022,Croatia,UEFA,15,0,low_block,26
2022,Germany,UEFA,11,0,high_press,26
2022,Japan,AFC,24,0,high_press,26
2022,Spain,UEFA,6,0,possession,26
2022,Costa Rica,CONCACAF,31,0,low_block,26
2022,Belgium,UEFA,2,0,counter,26
2022,Canada,CONCACAF,41,0,high_press,26
2022,Switzerland,UEFA,15,0,low_block,26
2022,Cameroon,CAF,43,0,counter,26
2022,Uruguay,CONMEBOL,14,0,low_block,26
2022,South Korea,AFC,28,0,high_press,26
2022,Portugal,UEFA,7,0,possession,26
2022,Ghana,CAF,60,0,counter,26
2022,Brazil,CONMEBOL,1,0,possession,26
2022,Serbia,UEFA,21,0,direct,26
